Id,SpeakerName,Phrase,translation
1010301034,ここな,あっ、ずるい！　/n今のはキュンじゃないもん！　,"Ah, curang!/nYang tadi itu bukan ""mendebarkan hati"" tahu!"
1010301035,静香,ずるくないわよ。/n照れてたじゃない。,Aku nggak curang kok./nKamu barusan tersipu kan?
1010301036,ここな,もー！,Duh...!
1010301037,ここな,――でも、羨ましいって思ってくれててよかった。/n私、本当にいつか叶えられたらいいなって思ってるから。,"Tapi, syukurlah kalau kamu merasa iri./nKarena aku benar-benar berharap suatu saat nanti impian itu bisa terwujud."
1010301038,静香,……約束のこと？,Maksudmu janji itu?
1010301039,ここな,そう。いつか、ふたりで一緒に舞台に立とうって。/n裏方じゃなくて、ふたりとも主役で。,"Iya. Suatu hari nanti, ayo kita berdiri di panggung bersama./nBukan sebagai orang di balik layar, tapi kita berdua sebagai pemeran utama."
1010301040,静香,……。,...
1010301041,静香,……私も、いつかできたらいいなって思ってる。,Aku harap aku juga bisa melakukannya suatu saat.
1010301042,ここな,うん。ねえ、今度柊さんたちにお願いしてみたら、/n案外あっさり『いいわよ』とか言ってくれたりしないかな？　,"Iya. Hei, kalau kita tanya Hiiragi-san dan para staf soal itu,/nmungkin mereka bakal setuju kali ya?"
1010301043,静香,さあ、どうかしら。/nまだやめといたほうがいいんじゃない？　,"Entahlah, gimana ya./nRasa-rasanya lebih baik jangan dulu deh."
1010301044,ここな,そうかな？,Begitukah?
1010301045,静香,うん。,Iya.
1010301046,静香,だって、現実的に考えたら……簡単なことじゃないし。,"Soalnya, kalau dipikir secara realistis... ini bukan hal yang mudah."
1010301047,ここな,でも静香ちゃんは――,"Tapi, Shizuka-chan――"
1010301048,静香,もちろん、ここなが約束を叶えたいと思ってるのはわかってる。,"Tentu aja, aku mengerti kalau kamu ingin mewujudkan janji itu."
1010301049,静香,わかってるんだけど……。,"Aku mengerti, tapi..."
1010301050,ここな,静香ちゃん……。,Shizuka-chan...
title,Pertanyaan Kokona,,
info,Translasi: Ryota,,
